Local time,Open,High,Low,Close,Volume
15.10.2003 00:30:00.000 GMT+0330,374.807,375.566,370.511,372.116,10718599.0066
16.10.2003 00:30:00.000 GMT+0330,372.296,374.572,369.939,371.089,12356503.084599998
17.10.2003 00:30:00.000 GMT+0330,371.348,372.065,365.944,370.916,9214999.089900002
18.10.2003 00:30:00.000 GMT+0330,370.916,370.916,370.916,370.916,0
19.10.2003 00:30:00.000 GMT+0330,370.916,370.916,370.916,370.916,0
20.10.2003 00:30:00.000 GMT+0330,370.859,373.982,368.999,372.653,9343610.8409
21.10.2003 00:30:00.000 GMT+0330,372.505,381.313,371.977,380.153,10566748.082700001
22.10.2003 00:30:00.000 GMT+0330,379.992,386.946,379.119,385.030,10681192.0461
23.10.2003 00:30:00.000 GMT+0330,385.395,387.210,381.884,383.497,11894713.8993
24.10.2003 00:30:00.000 GMT+0330,383.743,391.834,383.087,387.988,8182646.0361
25.10.2003 00:30:00.000 GMT+0330,387.988,387.988,387.988,387.988,0
26.10.2003 00:30:00.000 GMT+0330,387.988,387.988,387.988,387.988,0
27.10.2003 01:30:00.000 GMT+0330,387.495,388.056,384.711,387.470,9217376.0142
28.10.2003 01:30:00.000 GMT+0330,387.081,387.784,381.508,381.962,9686817.8899
29.10.2003 01:30:00.000 GMT+0330,382.126,387.016,378.989,385.808,10350103.0225
30.10.2003 01:30:00.000 GMT+0330,385.756,390.965,381.259,382.703,10411077.898
31.10.2003 01:30:00.000 GMT+0330,382.585,388.611,380.872,383.615,8739690.924199998
01.11.2003 01:30:00.000 GMT+0330,383.615,383.615,383.615,383.615,0
02.11.2003 01:30:00.000 GMT+0330,383.615,383.615,383.615,383.615,0
03.11.2003 01:30:00.000 GMT+0330,383.613,384.650,375.448,375.805,8085204.9665
04.11.2003 01:30:00.000 GMT+0330,375.987,380.495,375.660,378.980,9547761.038
05.11.2003 01:30:00.000 GMT+0330,378.740,383.998,377.994,380.701,10312696.9523
06.11.2003 01:30:00.000 GMT+0330,380.688,383.498,378.351,379.498,10729437.058799999
07.11.2003 01:30:00.000 GMT+0330,379.495,383.145,375.078,382.595,7834301.084900001
08.11.2003 01:30:00.000 GMT+0330,382.595,382.595,382.595,382.595,0
09.11.2003 01:30:00.000 GMT+0330,382.595,382.595,382.595,382.595,0
10.11.2003 01:30:00.000 GMT+0330,382.494,386.888,381.676,385.289,9759118.081899999
11.11.2003 01:30:00.000 GMT+0330,385.495,388.298,384.726,387.495,10022919.033000002
12.11.2003 01:30:00.000 GMT+0330,387.300,395.798,386.320,393.598,10789268.955500001
13.11.2003 01:30:00.000 GMT+0330,393.385,397.095,391.990,394.195,11629632.0483
14.11.2003 01:30:00.000 GMT+0330,393.747,398.698,393.091,397.025,9541478.0565
15.11.2003 01:30:00.000 GMT+0330,397.025,397.025,397.025,397.025,0
16.11.2003 01:30:00.000 GMT+0330,397.025,397.025,397.025,397.025,0
17.11.2003 01:30:00.000 GMT+0330,396.321,398.742,385.299,390.594,10974097.9429
18.11.2003 01:30:00.000 GMT+0330,390.330,398.298,389.433,398.076,10788442.991799999
19.11.2003 01:30:00.000 GMT+0330,398.295,400.048,391.766,394.313,10269370.986300003
20.11.2003 01:30:00.000 GMT+0330,394.598,396.698,390.981,393.995,10228582.942800002
21.11.2003 01:30:00.000 GMT+0330,393.775,397.498,391.836,395.595,8612413.104600001
22.11.2003 01:30:00.000 GMT+0330,395.595,395.595,395.595,395.595,0
23.11.2003 01:30:00.000 GMT+0330,395.595,395.595,395.595,395.595,0
